Arista E_125: origen=V_98, pareja=E_124, cara=f53, siguiente=E_339, anterior=E_549
Arista E_126: origen=V_99, pareja=E_127, cara=f53, siguiente=E_537, anterior=E_290
Arista E_127: origen=V_100, pareja=E_126, cara=f58, siguiente=E_255, anterior=E_536
Arista E_128: origen=V_101, pareja=E_129, cara=f0, siguiente=E_40, anterior=E_400
Arista E_129: origen=V_35, pareja=E_128, cara=f53, siguiente=E_401, anterior=E_41
Arista E_130: origen=V_102, pareja=E_131, cara=f0, siguiente=E_500, anterior=E_312
Arista E_131: origen=V_103, pareja=E_130, cara=f53, siguiente=E_313, anterior=E_501
Arista E_132: origen=V_104, pareja=E_133, cara=f53, siguiente=E_341, anterior=E_320
Arista E_133: origen=V_105, pareja=E_132, cara=f0, siguiente=E_321, anterior=E_340
Arista E_134: origen=V_106, pareja=E_135, cara=f8, siguiente=E_13, anterior=E_308
Arista E_135: origen=V_11, pareja=E_134, cara=f54, siguiente=E_540, anterior=E_113
Arista E_136: origen=V_107, pareja=E_137, cara=f53, siguiente=E_494, anterior=E_276
Arista E_137: origen=V_108, pareja=E_136, cara=f59, siguiente=E_277, anterior=E_495
Arista E_138: origen=V_109, pareja=E_139, cara=f12, siguiente=E_17, anterior=E_446
Arista E_139: origen=V_15, pareja=E_138, cara=f46, siguiente=E_447, anterior=E_299
Arista E_140: origen=V_110, pareja=E_141, cara=f40, siguiente=E_364, anterior=E_200
Arista E_141: origen=V_111, pareja=E_140, cara=f48, siguiente=E_557, anterior=E_372
Arista E_142: origen=V_112, pareja=E_143, cara=f0, siguiente=E_190, anterior=E_294
Arista E_143: origen=V_113, pareja=E_142, cara=f53, siguiente=E_295, anterior=E_191
Arista E_144: origen=V_114, pareja=E_145, cara=f60, siguiente=E_238, anterior=E_434
Arista E_145: origen=V_20, pareja=E_144, cara=f14, siguiente=E_257, anterior=E_23
Arista E_146: origen=V_115, pareja=E_147, cara=f53, siguiente=E_366, anterior=E_477
Arista E_147: origen=V_116, pareja=E_146, cara=f0, siguiente=E_476, anterior=E_367
Arista E_148: origen=V_19, pareja=E_149, cara=f11, siguiente=E_16, anterior=E_441
Arista E_149: origen=V_14, pareja=E_148, cara=f13, siguiente=E_21, anterior=E_318
Arista E_150: origen=V_117, pareja=E_151, cara=f29, siguiente=E_50, anterior=E_220
Arista E_151: origen=V_44, pareja=E_150, cara=f55, siguiente=E_221, anterior=E_382
Arista E_152: origen=V_77, pareja=E_153, cara=f61, siguiente=E_384, anterior=E_374
Arista E_153: origen=V_118, pareja=E_152, cara=f29, siguiente=E_306, anterior=E_385
